OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu058,0.000592,1.00E-06,0.000259,0.002648,4.00E-06,0.000692,0.000999,1.999999,0.02922075,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu033,0.013297,9.50E-05,0.003453,0.028369,0.000648,0.008998,0.164835,1.999999,0.86688225,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu079,0.000282,0,0.000164,5.60E-05,0,3.70E-05,0.173826,1.999999,0.86688225,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu083,0.012734,0.00063,0.008872,0.002423,6.00E-06,0.000864,0.176823,1.999999,0.86688225,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu013,0.003212,2.70E-05,0.001854,0.010565,0.000217,0.005206,0.226773,1.999999,0.892561091,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu022,0.000366,0,0.000213,0.001521,5.00E-06,0.000804,0.251748,1.999999,0.892561091,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu042,0.000141,0,5.90E-05,2.80E-05,0,2.80E-05,0.21873,1.999999,0.892561091,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu057,0.005437,2.20E-05,0.001667,0.002705,1.50E-05,0.001388,0.213786,1.999999,0.892561091,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu065,0.001409,2.00E-06,0.000442,0.000761,1.00E-06,0.000282,0.248751,1.999999,0.892561091,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu085,0.000986,1.00E-06,0.000366,0.000394,1.00E-06,3.00E-04,0.227772,1.999999,0.892561091,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);
Otu100,2.80E-05,0,2.80E-05,0.000141,0,0.000112,0.21873,1.999999,0.892561091,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu137,8.50E-05,0,8.50E-05,0,0,0,0.249989,1.999999,0.892561091,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Parasutterella(100);
Otu230,0,0,0,8.50E-05,0,8.50E-05,0.249989,1.999999,0.892561091,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
Otu089,0.000423,0,0.000183,0.000197,0,9.90E-05,0.261738,1.999999,0.900686647,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu003,0.142946,0.00801,0.031642,0.106942,0.005467,0.026141,0.401598,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu016,0.01434,0.000247,0.005561,0.021016,0.000155,0.004401,0.391608,1.999999,0.99018075,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu018,0.003578,3.00E-06,0.00058,0.005296,2.10E-05,0.001635,0.36963,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0.016481,0.000365,0.006759,0.026792,0.000705,0.009389,0.40959,1.999999,0.99018075,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu029,0.005099,4.70E-05,0.00243,0.002395,9.00E-06,0.001046,0.36963,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu039,5.60E-05,0,5.60E-05,0,0,0,0.499993,1.999999,0.99018075,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_unclassified(100);
Otu045,0.020876,0.000846,0.010285,0.00986,0.000236,0.005427,0.330669,1.999999,0.99018075,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu047,0.004,3.50E-05,0.002098,0.00169,2.00E-06,0.00048,0.34965,1.999999,0.99018075,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu048,0.003578,3.70E-05,0.002142,0.000958,0,0.000194,0.38961,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu052,0.000113,0,6.00E-05,2.80E-05,0,2.80E-05,0.374982,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu055,0.001268,3.00E-06,0.000565,0.000704,1.00E-06,0.000391,0.387612,1.999999,0.99018075,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu059,0.000113,0,8.50E-05,2.80E-05,0,2.80E-05,0.374982,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu062,5.60E-05,0,3.70E-05,0,0,0,0.499993,1.999999,0.99018075,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu067,0.002141,1.30E-05,0.001253,0.000986,2.00E-06,0.000447,0.460539,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu069,0.000169,0,9.30E-05,8.50E-05,0,5.90E-05,0.507785,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu071,0.00124,2.00E-06,0.000447,0.000761,1.00E-06,0.000404,0.412587,1.999999,0.99018075,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu084,0.000986,1.00E-06,0.000292,0.000592,1.00E-06,0.000269,0.310689,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu090,0,0,0,5.60E-05,0,5.60E-05,0.499993,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu091,5.60E-05,0,5.60E-05,0,0,0,0.499993,1.999999,0.99018075,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu098,0,0,0,5.60E-05,0,5.60E-05,0.499993,1.999999,0.99018075,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu122,0,0,0,5.60E-05,0,5.60E-05,0.499993,1.999999,0.99018075,Bacteria(100);Lentisphaerae(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu124,0,0,0,5.60E-05,0,5.60E-05,0.499993,1.999999,0.99018075,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseriaceae_unclassified(100);
Otu134,5.60E-05,0,5.60E-05,0,0,0,0.499993,1.999999,0.99018075,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu138,0.000225,0,0.00017,8.50E-05,0,4.10E-05,0.450549,1.999999,0.99018075,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu141,5.60E-05,0,5.60E-05,0,0,0,0.499993,1.999999,0.99018075,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurella(100);
Otu152,5.60E-05,0,3.70E-05,0,0,0,0.499993,1.999999,0.99018075,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(100);
Otu024,0.004282,1.60E-05,0.001424,0.017692,0.001473,0.013569,0.519481,1.999999,0.991622177,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu087,0.007888,0.000333,0.006455,0.002874,6.30E-05,0.00281,0.525475,1.999999,0.991622177,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu001,0.100575,0.007938,0.031501,0.086489,0.003037,0.019485,0.706294,1.999999,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.195909,0.014025,0.04187,0.204558,0.002644,0.01818,0.87013,1.999999,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu004,0.021721,6.00E-05,0.002746,0.024031,0.000163,0.004517,0.672328,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu006,0.01772,0.000148,0.004304,0.016509,9.60E-05,0.00347,0.831169,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0.101504,0.007757,0.031139,0.108716,0.005205,0.025506,0.861139,1.999999,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu008,0.002451,1.00E-06,0.000405,0.002451,2.00E-06,0.000517,0.97003,1.999999,1,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu009,0.001916,2.00E-06,0.000529,0.001662,2.00E-06,0.000498,0.73027,1.999999,1,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu010,0.017833,0.000256,0.005653,0.021946,0.000304,0.006162,0.631369,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.013917,8.60E-05,0.003276,0.011579,0.000131,0.004044,0.662338,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu012,0.003409,3.30E-05,0.002039,0.004451,2.80E-05,0.001887,0.574426,1.999999,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu015,0.000282,1.00E-06,0.000251,0.000225,0,0.000128,0.81019,1.999999,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu020,0.005606,1.70E-05,0.001454,0.006451,5.60E-05,0.002635,0.828172,1.999999,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu021,0.014593,0.001261,0.012553,0.004705,1.50E-05,0.001384,0.937063,1.999999,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu023,0.021411,0.000396,0.007035,0.024932,6.10E-05,0.002771,0.626374,1.999999,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu026,0.06212,0.004613,0.024014,0.077643,0.000514,0.008013,0.541459,1.999999,1,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu027,0.000141,0,8.50E-05,0.000197,0,0.000167,0.774395,1.999999,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu030,0.000535,0,0.00018,0.001972,2.60E-05,0.001787,0.883117,1.999999,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu032,0.004395,1.70E-05,0.001472,0.005212,2.70E-05,0.001827,0.733267,1.999999,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu034,0.00648,8.50E-05,0.003259,0.008987,6.80E-05,0.002921,0.567433,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu035,0.001042,1.00E-06,0.000422,0.00262,3.40E-05,0.002051,0.83017,1.999999,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu036,0.005634,1.80E-05,0.001503,0.006367,5.80E-05,0.002699,0.815185,1.999999,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu037,2.80E-05,0,2.80E-05,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu038,0.023355,0.002304,0.016971,0.015326,0.000426,0.007297,0.852148,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu041,8.50E-05,0,8.50E-05,2.80E-05,0,2.80E-05,0.624989,1.999999,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu043,0.000873,0,0.000243,0.001211,5.00E-06,0.000764,0.851149,1.999999,1,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu044,0.007353,9.80E-05,0.003492,0.006705,6.40E-05,0.002833,0.854146,1.999999,1,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu046,0.00124,2.00E-06,0.000476,0.001211,1.00E-06,0.000286,0.971029,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu049,0.001888,2.00E-06,0.00047,0.001972,6.00E-06,0.000835,0.924076,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);
Otu050,5.60E-05,0,5.60E-05,0.000113,0,7.40E-05,0.687487,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu053,0.00138,1.00E-06,0.000326,0.001268,1.00E-06,0.000338,0.774226,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu056,5.60E-05,0,3.70E-05,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu060,0.000817,3.00E-06,0.00063,0.000592,0,0.000244,0.885115,1.999999,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu061,0.004141,6.50E-05,0.002852,0.002141,4.00E-06,0.00073,0.816184,1.999999,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu063,2.80E-05,0,2.80E-05,0,0,0,1,1.999999,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu064,0.002282,2.00E-06,0.000534,0.002169,5.00E-06,0.000806,0.902098,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu072,0.00031,0,0.000248,0.000254,0,0.000167,0.721279,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu073,0.000197,0,0.000116,0.000141,0,7.30E-05,0.774395,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu075,2.80E-05,0,2.80E-05,0,0,0,1,1.999999,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu076,0.000479,0,0.000138,0.000479,0,0.000235,0.941059,1.999999,1,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu078,0.000958,1.00E-06,0.000332,0.001127,2.00E-06,0.000497,0.75025,1.999999,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu080,0.000113,0,6.00E-05,5.60E-05,0,5.60E-05,0.687487,1.999999,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcaceae_unclassified(100);
Otu081,2.80E-05,0,2.80E-05,0,0,0,1,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridiaceae_1_unclassified(100);
Otu088,0,0,0,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu093,2.80E-05,0,2.80E-05,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu099,2.80E-05,0,2.80E-05,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Actinobacillus(100);
Otu102,0.000423,0,0.000227,0.000282,0,0.000158,0.664336,1.999999,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Slackia(100);
Otu103,0.000366,0,0.000221,0.000479,0,0.000108,0.593407,1.999999,1,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu110,2.80E-05,0,2.80E-05,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu114,0,0,0,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
Otu115,2.80E-05,0,2.80E-05,5.60E-05,0,5.60E-05,1,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Acetivibrio(100);
Otu129,0,0,0,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu130,0.000451,0,0.000245,0.000366,0,0.000175,0.773227,1.999999,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu133,0,0,0,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Anaerofustis(100);
Otu193,0,0,0,2.80E-05,0,2.80E-05,1,1.999999,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Achromobacter(100);
Otu330,2.80E-05,0,2.80E-05,0,0,0,1,1.999999,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerofilum(100);
